step,epoch,lr,loss,grad_norm_global,grad_norm_encoder.blocks.0,grad_norm_encoder.blocks.1,grad_norm_encoder.blocks.2,grad_norm_encoder.blocks.3,grad_norm_encoder.blocks.4,grad_norm_encoder.blocks.5,grad_norm_encoder.blocks.6,grad_norm_encoder.blocks.7,grad_norm_encoder.blocks.8,grad_norm_encoder.blocks.9,grad_norm_encoder.blocks.10,grad_norm_encoder.blocks.11,M_max_abs_encoder.blocks.0.attn_router,M_off_diag_mass_encoder.blocks.0.attn_router,M_max_abs_encoder.blocks.0.mlp_router,M_off_diag_mass_encoder.blocks.0.mlp_router,M_max_abs_encoder.blocks.1.attn_router,M_off_diag_mass_encoder.blocks.1.attn_router,M_max_abs_encoder.blocks.1.mlp_router,M_off_diag_mass_encoder.blocks.1.mlp_router,M_max_abs_encoder.blocks.2.attn_router,M_off_diag_mass_encoder.blocks.2.attn_router,M_max_abs_encoder.blocks.2.mlp_router,M_off_diag_mass_encoder.blocks.2.mlp_router,M_max_abs_encoder.blocks.3.attn_router,M_off_diag_mass_encoder.blocks.3.attn_router,M_max_abs_encoder.blocks.3.mlp_router,M_off_diag_mass_encoder.blocks.3.mlp_router,M_max_abs_encoder.blocks.4.attn_router,M_off_diag_mass_encoder.blocks.4.attn_router,M_max_abs_encoder.blocks.4.mlp_router,M_off_diag_mass_encoder.blocks.4.mlp_router,M_max_abs_encoder.blocks.5.attn_router,M_off_diag_mass_encoder.blocks.5.attn_router,M_max_abs_encoder.blocks.5.mlp_router,M_off_diag_mass_encoder.blocks.5.mlp_router,M_max_abs_encoder.blocks.6.attn_router,M_off_diag_mass_encoder.blocks.6.attn_router,M_max_abs_encoder.blocks.6.mlp_router,M_off_diag_mass_encoder.blocks.6.mlp_router,M_max_abs_encoder.blocks.7.attn_router,M_off_diag_mass_encoder.blocks.7.attn_router,M_max_abs_encoder.blocks.7.mlp_router,M_off_diag_mass_encoder.blocks.7.mlp_router,M_max_abs_encoder.blocks.8.attn_router,M_off_diag_mass_encoder.blocks.8.attn_router,M_max_abs_encoder.blocks.8.mlp_router,M_off_diag_mass_encoder.blocks.8.mlp_router,M_max_abs_encoder.blocks.9.attn_router,M_off_diag_mass_encoder.blocks.9.attn_router,M_max_abs_encoder.blocks.9.mlp_router,M_off_diag_mass_encoder.blocks.9.mlp_router,M_max_abs_encoder.blocks.10.attn_router,M_off_diag_mass_encoder.blocks.10.attn_router,M_max_abs_encoder.blocks.10.mlp_router,M_off_diag_mass_encoder.blocks.10.mlp_router,M_max_abs_encoder.blocks.11.attn_router,M_off_diag_mass_encoder.blocks.11.attn_router,M_max_abs_encoder.blocks.11.mlp_router,M_off_diag_mass_encoder.blocks.11.mlp_router,sk_dev_encoder.blocks.0.attn_router,sk_dev_encoder.blocks.0.mlp_router,sk_dev_encoder.blocks.1.attn_router,sk_dev_encoder.blocks.1.mlp_router,sk_dev_encoder.blocks.2.attn_router,sk_dev_encoder.blocks.2.mlp_router,sk_dev_encoder.blocks.3.attn_router,sk_dev_encoder.blocks.3.mlp_router,sk_dev_encoder.blocks.4.attn_router,sk_dev_encoder.blocks.4.mlp_router,sk_dev_encoder.blocks.5.attn_router,sk_dev_encoder.blocks.5.mlp_router,sk_dev_encoder.blocks.6.attn_router,sk_dev_encoder.blocks.6.mlp_router,sk_dev_encoder.blocks.7.attn_router,sk_dev_encoder.blocks.7.mlp_router,sk_dev_encoder.blocks.8.attn_router,sk_dev_encoder.blocks.8.mlp_router,sk_dev_encoder.blocks.9.attn_router,sk_dev_encoder.blocks.9.mlp_router,sk_dev_encoder.blocks.10.attn_router,sk_dev_encoder.blocks.10.mlp_router,sk_dev_encoder.blocks.11.attn_router,sk_dev_encoder.blocks.11.mlp_router
10,0,2.375726401805878e-06,3.883735179901123,8.690067672145778,1.5172608793357036,0.8753341027443263,0.8416987140026588,0.9608710087080029,0.8899771702137244,1.1342464004489372,1.0090638574287694,0.9508046770259345,0.9287288998924969,0.9137707374554037,0.876040266406887,1.0680848109345473,0.9998639225959778,0.0003144318761769682,0.9998639225959778,0.0003143915382679552,0.9998639225959778,0.00031438705627806485,0.9998639225959778,0.00031439648591913283,0.9998639225959778,0.00031439014128409326,0.9998639225959778,0.00031439008307643235,0.9998639225959778,0.0003143824287690222,0.9998638033866882,0.0003145419468637556,0.9998639225959778,0.00031438813311979175,0.9998638033866882,0.00031453566043637693,0.9998639225959778,0.00031434776610694826,0.9998638033866882,0.00031454351847060025,0.9998638033866882,0.00031458286684937775,0.9998638033866882,0.00031457998557016253,0.9998637437820435,0.00031473764101974666,0.9998637437820435,0.00031467765802517533,0.9998637437820435,0.0003146876988466829,0.9998639225959778,0.000314441102091223,0.9998639225959778,0.000314430013531819,0.9998639225959778,0.00031450254027731717,0.9998638033866882,0.00031453280826099217,0.9998638033866882,0.0003145313239656389,0.9998639225959778,0.00031444060732610524,0.9998638033866882,0.0003145425580441952,2.384185791015625e-07,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,0.0,1.1920928955078125e-07,0.0,0.0,0.0,0.0,0.0,1.1920928955078125e-07,0.0,0.0,2.384185791015625e-07,2.384185791015625e-07,2.384185791015625e-07,0.0,0.0,1.1920928955078125e-07,0.0
20,0,2.375726401805878e-06,3.399898052215576,7.084903058054393,1.2009156829669885,0.6152481670589481,0.6163226637991956,0.6444171920246083,0.6468781410739862,0.7676078629071884,0.749630342516079,0.7566166436784194,0.7550184399983764,0.7730247449214113,0.671739997507653,0.7977917971853459,0.9998641014099121,0.0003142862406093627,0.9998639225959778,0.00031442625913769007,0.9998639225959778,0.00031449971720576286,0.9998638033866882,0.00031456613214686513,0.9998639225959778,0.0003145047230646014,0.9998639225959778,0.0003145025984849781,0.9998639225959778,0.0003143896465189755,0.9998638033866882,0.0003145745722576976,0.9998639225959778,0.00031438408768735826,0.9998639225959778,0.0003143925860058516,0.9998639225959778,0.000314364762743935,0.9998639225959778,0.0003143788198940456,0.9998639225959778,0.00031437812140211463,0.9998639225959778,0.00031437951838597655,0.9998638033866882,0.00031458528246730566,0.9998638033866882,0.0003145786467939615,0.9998637437820435,0.0003146752715110779,0.9998641014099121,0.0003142525674775243,0.9998641014099121,0.00031425768975168467,0.9998641014099121,0.0003142765781376511,0.9998639225959778,0.00031438074074685574,0.9998639225959778,0.0003144380752928555,0.9998639225959778,0.00031437279540114105,0.9998638033866882,0.0003145210212096572,4.76837158203125e-07,2.384185791015625e-07,2.384185791015625e-07,0.0,2.384185791015625e-07,2.384185791015625e-07,1.1920928955078125e-07,0.0,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,0.0,0.0,0.0,3.5762786865234375e-07,3.5762786865234375e-07,3.5762786865234375e-07,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,0.0
30,0,2.375726401805878e-06,3.8648722171783447,7.006404309665788,0.989473294979654,0.5638255948493743,0.5706622036860307,0.6212528554664376,0.5878817870150698,0.8643497724388789,0.6142305029937026,0.647161265813328,0.5823675422765389,0.5875395080496789,0.6330703444356218,0.6673807171550704,0.9998641014099121,0.0003143493668176234,0.9998641014099121,0.0003142677596770227,0.9998639225959778,0.00031449447851628065,0.9998639225959778,0.0003145627269987017,0.9998639225959778,0.0003144961956422776,0.9998639225959778,0.0003144890069961548,0.9998639225959778,0.0003144504444207996,0.9998639225959778,0.00031450914684683084,0.9998639225959778,0.0003144315560348332,0.9998639225959778,0.0003144282673019916,0.9998641014099121,0.00031414697878062725,0.9998641014099121,0.0003142479981761426,0.9998641014099121,0.00031413434771820903,0.9998641014099121,0.0003141383931506425,0.9998639225959778,0.0003144245420116931,0.9998639225959778,0.0003144381335005164,0.9998639225959778,0.0003143849316984415,0.9998642802238464,0.0003140277985949069,0.9998642802238464,0.0003140365588478744,0.9998642802238464,0.0003140939516015351,0.9998641014099121,0.00031409235089085996,0.9998641014099121,0.00031420329469256103,0.9998641014099121,0.00031414255499839783,0.9998639225959778,0.0003143494250252843,5.960464477539062e-07,3.5762786865234375e-07,2.384185791015625e-07,3.5762786865234375e-07,3.5762786865234375e-07,2.384185791015625e-07,2.384185791015625e-07,2.384185791015625e-07,1.1920928955078125e-07,1.1920928955078125e-07,2.384185791015625e-07,3.5762786865234375e-07,2.384185791015625e-07,2.384185791015625e-07,1.1920928955078125e-07,2.384185791015625e-07,2.384185791015625e-07,5.960464477539062e-07,5.960464477539062e-07,5.960464477539062e-07,2.384185791015625e-07,3.5762786865234375e-07,2.384185791015625e-07,0.0
40,0,2.375726401805878e-06,2.657918930053711,5.941680987806545,0.8300220070881793,0.4899910092038391,0.5099350465564546,0.5632276858003655,0.5234391163963046,0.6467029531276705,0.5418566217775268,0.5076145733396434,0.5224808481572962,0.5191915298340056,0.5587458556143854,0.6013939664097836,0.9998641014099121,0.00031434293487109244,0.9998641014099121,0.00031425675842911005,0.9998639225959778,0.00031449139351025224,0.9998639225959778,0.00031456025317311287,0.9998639225959778,0.00031446677166968584,0.9998639225959778,0.0003144533548038453,0.9998639225959778,0.00031444421620108187,0.9998639225959778,0.0003144934889860451,0.9998641014099121,0.0003142626374028623,0.9998641014099121,0.0003142422065138817,0.9998641014099121,0.0003140671760775149,0.9998642802238464,0.00031395844416692853,0.9998642802238464,0.0003139479667879641,0.9998642802238464,0.00031395023688673973,0.9998641014099121,0.00031414133263751864,0.9998641014099121,0.0003141456691082567,0.9998641014099121,0.000314246368361637,0.9998646378517151,0.0003136226150672883,0.9998644590377808,0.0003137355379294604,0.9998644590377808,0.0003138517786283046,0.9998642802238464,0.00031385294278152287,0.9998642802238464,0.00031396173289977014,0.9998641014099121,0.0003141195047646761,0.9998639225959778,0.000314344564685598,7.152557373046875e-07,4.76837158203125e-07,2.384185791015625e-07,3.5762786865234375e-07,3.5762786865234375e-07,2.384185791015625e-07,2.384185791015625e-07,2.384185791015625e-07,3.5762786865234375e-07,3.5762786865234375e-07,2.384185791015625e-07,3.5762786865234375e-07,3.5762786865234375e-07,3.5762786865234375e-07,2.384185791015625e-07,3.5762786865234375e-07,3.5762786865234375e-07,8.344650268554688e-07,7.152557373046875e-07,7.152557373046875e-07,3.5762786865234375e-07,3.5762786865234375e-07,2.384185791015625e-07,0.0
50,0,2.375726401805878e-06,3.3998801708221436,5.729275963038712,0.7840927578014951,0.46870287481860695,0.4599378579128608,0.4982895997960724,0.45749738531149015,0.5222779718414708,0.4664471984879257,0.48793604523033324,0.5148619593144447,0.4695869158366743,0.43663652410652803,0.4905799676514528,0.9998642802238464,0.0003141805646009743,0.9998641014099121,0.00031422163010574877,0.9998639225959778,0.0003144581278320402,0.9998639225959778,0.00031449837842956185,0.9998639225959778,0.00031445594504475594,0.9998639225959778,0.0003144431102555245,0.9998639225959778,0.00031443522311747074,0.9998639225959778,0.00031444677733816206,0.9998641014099121,0.00031424927874468267,0.9998641014099121,0.00031413816031999886,0.9998641014099121,0.000314126955345273,0.9998644590377808,0.00031378521816805005,0.9998644590377808,0.0003136694722343236,0.9998644590377808,0.00031366993789561093,0.9998642802238464,0.00031396711710840464,0.9998642802238464,0.000314026401611045,0.9998642802238464,0.00031396604026667774,0.9998648166656494,0.00031344432500191033,0.9998646378517151,0.00031350142671726644,0.9998644590377808,0.0003137234889436513,0.9998644590377808,0.0003136488376185298,0.9998642802238464,0.00031384662725031376,0.9998642802238464,0.0003138869069516659,0.9998639225959778,0.00031431333627551794,8.344650268554688e-07,4.76837158203125e-07,2.384185791015625e-07,3.5762786865234375e-07,3.5762786865234375e-07,2.384185791015625e-07,2.384185791015625e-07,2.384185791015625e-07,3.5762786865234375e-07,3.5762786865234375e-07,2.384185791015625e-07,7.152557373046875e-07,5.960464477539062e-07,4.76837158203125e-07,4.76837158203125e-07,5.960464477539062e-07,4.76837158203125e-07,1.0728836059570312e-06,7.152557373046875e-07,7.152557373046875e-07,4.76837158203125e-07,3.5762786865234375e-07,3.5762786865234375e-07,0.0
60,0,2.375726401805878e-06,4.582361221313477,6.500837676110887,0.9236336794722391,0.5465290062874321,0.543509386790345,0.6714209573761943,0.5749672646488634,0.6678366433883913,0.5514079820493112,0.5403036583901631,0.5323256536320846,0.479493126856143,0.4620326268478596,0.5241257188873674,0.9998642802238464,0.00031424290500581264,0.9998642802238464,0.0003141583001706749,0.9998639225959778,0.00031444636988453567,0.9998639225959778,0.0003144548973068595,0.9998641014099121,0.0003142798668704927,0.9998641014099121,0.0003142672358080745,0.9998641014099121,0.0003142565838061273,0.9998641014099121,0.0003142631030641496,0.9998641014099121,0.00031414779368788004,0.9998642802238464,0.0003140262851957232,0.9998642802238464,0.00031388920615427196,0.9998646378517151,0.00031361516448669136,0.9998646378517151,0.0003135477309115231,0.9998646378517151,0.0003135984006803483,0.9998644590377808,0.00031384662725031376,0.9998644590377808,0.00031375285470858216,0.9998644590377808,0.0003138477331958711,0.9998648166656494,0.00031333111110143363,0.9998648166656494,0.0003133623977191746,0.9998646378517151,0.0003135940642096102,0.9998646378517151,0.0003135381848551333,0.9998644590377808,0.00031366286566480994,0.9998642802238464,0.0003138367901556194,0.9998639225959778,0.00031431164825335145,1.0728836059570312e-06,7.152557373046875e-07,3.5762786865234375e-07,3.5762786865234375e-07,4.76837158203125e-07,3.5762786865234375e-07,3.5762786865234375e-07,3.5762786865234375e-07,3.5762786865234375e-07,4.76837158203125e-07,3.5762786865234375e-07,8.344650268554688e-07,7.152557373046875e-07,7.152557373046875e-07,7.152557373046875e-07,7.152557373046875e-07,7.152557373046875e-07,1.0728836059570312e-06,1.0728836059570312e-06,8.344650268554688e-07,7.152557373046875e-07,5.960464477539062e-07,3.5762786865234375e-07,0.0
70,0,2.375726401805878e-06,3.077780246734619,6.074791187357994,0.9607893749803663,0.4807168607187791,0.45813736342128825,0.5212887957212994,0.48270633872656976,0.566438820010278,0.49602224793162714,0.4325965791939584,0.4435695825699621,0.46533469590561344,0.4542038801837571,0.4900855741413323,0.9998644590377808,0.00031408033100888133,0.9998642802238464,0.0003141172637697309,0.9998641014099121,0.00031434284755960107,0.9998641014099121,0.00031434252741746604,0.9998641014099121,0.0003142972709611058,0.9998641014099121,0.00031433525145985186,0.9998641014099121,0.00031422346364706755,0.9998641014099121,0.0003142273926641792,0.9998642802238464,0.0003140893531963229,0.9998644590377808,0.0003138505853712559,0.9998644590377808,0.0003137891471851617,0.9998646378517151,0.0003135496226605028,0.9998646378517151,0.0003134289581794292,0.9998646378517151,0.0003134279977530241,0.9998644590377808,0.000313726719468832,0.9998646378517151,0.0003136051818728447,0.9998644590377808,0.00031372750527225435,0.9998649954795837,0.0003131843695882708,0.9998649954795837,0.00031319825211539865,0.9998648166656494,0.000313430413370952,0.9998646378517151,0.00031341725843958557,0.9998646378517151,0.0003136007289867848,0.9998644590377808,0.0003136472951155156,0.9998639225959778,0.00031426697387360036,1.1920928955078125e-06,7.152557373046875e-07,5.960464477539062e-07,5.960464477539062e-07,5.960464477539062e-07,4.76837158203125e-07,4.76837158203125e-07,4.76837158203125e-07,5.960464477539062e-07,7.152557373046875e-07,5.960464477539062e-07,8.344650268554688e-07,7.152557373046875e-07,7.152557373046875e-07,7.152557373046875e-07,9.5367431640625e-07,7.152557373046875e-07,1.1920928955078125e-06,1.0728836059570312e-06,1.0728836059570312e-06,7.152557373046875e-07,7.152557373046875e-07,4.76837158203125e-07,0.0
80,0,2.375726401805878e-06,3.242788791656494,5.705926608481786,1.0995354047737846,0.5712464867701914,0.5294164752989938,0.6177233715733603,0.570857207432401,0.6976557741993268,0.5090019505503706,0.460756917334122,0.4675454987677775,0.4517958202721799,0.4235599288963211,0.4625339592349639,0.9998644590377808,0.0003140767221339047,0.9998642802238464,0.00031411793315783143,0.9998641014099121,0.0003143433132208884,0.9998641014099121,0.0003142832429148257,0.9998641014099121,0.0003142660134471953,0.9998641014099121,0.0003141686029266566,0.9998641014099121,0.00031416674028150737,0.9998641014099121,0.0003141571069136262,0.9998642802238464,0.0003139735199511051,0.9998644590377808,0.0003137949388474226,0.9998644590377808,0.0003136613522656262,0.9998648166656494,0.0003133045684080571,0.9998648166656494,0.0003132453130092472,0.9998648166656494,0.00031323981238529086,0.9998646378517151,0.0003135963052045554,0.9998648166656494,0.0003134383587166667,0.9998646378517151,0.00031358926207758486,0.9998651742935181,0.00031301259878091514,0.9998649954795837,0.0003131373377982527,0.9998648166656494,0.0003133211866952479,0.9998648166656494,0.00031320200650952756,0.9998646378517151,0.00031343669979833066,0.9998646378517151,0.0003135344886686653,0.9998641014099121,0.000314082921249792,1.3113021850585938e-06,7.152557373046875e-07,5.960464477539062e-07,4.76837158203125e-07,4.76837158203125e-07,3.5762786865234375e-07,3.5762786865234375e-07,3.5762786865234375e-07,4.76837158203125e-07,7.152557373046875e-07,4.76837158203125e-07,9.5367431640625e-07,9.5367431640625e-07,8.344650268554688e-07,8.344650268554688e-07,1.0728836059570312e-06,8.344650268554688e-07,1.430511474609375e-06,1.1920928955078125e-06,1.0728836059570312e-06,8.344650268554688e-07,7.152557373046875e-07,7.152557373046875e-07,1.1920928955078125e-07
90,0,2.375726401805878e-06,3.270801544189453,5.936183850753883,0.9624471074704868,0.5670879493464376,0.5218653118364139,0.579038246660374,0.5492996237900232,0.636669423488299,0.5069304648509492,0.5145505094221674,0.49854646708922684,0.4952406336987305,0.4494107020704747,0.4620826733226624,0.9998644590377808,0.0003140801563858986,0.9998642802238464,0.0003141556226182729,0.9998639225959778,0.0003144575748592615,0.9998639225959778,0.00031443958869203925,0.9998641014099121,0.0003142697096336633,0.9998641014099121,0.0003142419154755771,0.9998641014099121,0.0003142503264825791,0.9998641014099121,0.00031415323610417545,0.9998642802238464,0.000313974596792832,0.9998646378517151,0.0003136192972306162,0.9998644590377808,0.00031365390168502927,0.9998649954795837,0.0003131365228909999,0.9998649954795837,0.00031313422368839383,0.9998648166656494,0.00031329388730227947,0.9998646378517151,0.00031354979728348553,0.9998648166656494,0.0003133353893645108,0.9998648166656494,0.0003134369326289743,0.9998653531074524,0.00031285147997550666,0.9998651742935181,0.00031300639966502786,0.9998649954795837,0.00031319609843194485,0.9998649954795837,0.00031312540522776544,0.9998648166656494,0.0003132538986392319,0.9998646378517151,0.000313423341140151,0.9998641014099121,0.0003140837943647057,1.1920928955078125e-06,7.152557373046875e-07,3.5762786865234375e-07,2.384185791015625e-07,3.5762786865234375e-07,3.5762786865234375e-07,3.5762786865234375e-07,3.5762786865234375e-07,4.76837158203125e-07,8.344650268554688e-07,5.960464477539062e-07,1.0728836059570312e-06,1.0728836059570312e-06,8.344650268554688e-07,8.344650268554688e-07,1.0728836059570312e-06,1.0728836059570312e-06,1.5497207641601562e-06,1.430511474609375e-06,1.3113021850585938e-06,1.0728836059570312e-06,9.5367431640625e-07,7.152557373046875e-07,1.1920928955078125e-07
100,0,2.375726401805878e-06,4.342334747314453,7.360355472431143,2.0181007852561117,0.9407003428372898,0.9071868295712335,1.0965407817173127,0.8907346560674984,0.9501358809327602,0.76986998449141,0.6815495051249886,0.6125467245998313,0.5547645726731771,0.5170634361372067,0.5358053688699033,0.9998644590377808,0.0003140768385492265,0.9998642802238464,0.00031416487763635814,0.9998641014099121,0.0003144533548038453,0.9998641014099121,0.0003142709319945425,0.9998641014099121,0.00031426758505403996,0.9998641014099121,0.00031420597224496305,0.9998641014099121,0.0003142488712910563,0.9998642802238464,0.00031409403891302645,0.9998642802238464,0.0003139766922686249,0.9998646378517151,0.0003135947627015412,0.9998644590377808,0.000313722004648298,0.9998651742935181,0.000312963908072561,0.9998649954795837,0.0003130242694169283,0.9998649954795837,0.0003131151315756142,0.9998648166656494,0.0003134237776976079,0.9998649954795837,0.00031315203523263335,0.9998648166656494,0.0003133061691187322,0.9998653531074524,0.0003127685049548745,0.9998651742935181,0.00031289999606087804,0.9998649954795837,0.0003132017736788839,0.9998649954795837,0.00031302357092499733,0.9998648166656494,0.00031330270576290786,0.9998648166656494,0.0003132327983621508,0.9998642802238464,0.00031394738471135497,1.3113021850585938e-06,7.152557373046875e-07,5.960464477539062e-07,3.5762786865234375e-07,3.5762786865234375e-07,3.5762786865234375e-07,3.5762786865234375e-07,5.960464477539062e-07,4.76837158203125e-07,8.344650268554688e-07,5.960464477539062e-07,1.3113021850585938e-06,1.0728836059570312e-06,1.0728836059570312e-06,1.0728836059570312e-06,1.1920928955078125e-06,9.5367431640625e-07,1.5497207641601562e-06,1.430511474609375e-06,1.1920928955078125e-06,1.0728836059570312e-06,8.344650268554688e-07,7.152557373046875e-07,3.5762786865234375e-07
