step,epoch,lr,loss,grad_norm_global,grad_norm_encoder.blocks.0,grad_norm_encoder.blocks.1,grad_norm_encoder.blocks.2,grad_norm_encoder.blocks.3,grad_norm_encoder.blocks.4,grad_norm_encoder.blocks.5,grad_norm_encoder.blocks.6,grad_norm_encoder.blocks.7,grad_norm_encoder.blocks.8,grad_norm_encoder.blocks.9,grad_norm_encoder.blocks.10,grad_norm_encoder.blocks.11,M_max_abs_encoder.blocks.0.attn_router,M_off_diag_mass_encoder.blocks.0.attn_router,M_max_abs_encoder.blocks.0.mlp_router,M_off_diag_mass_encoder.blocks.0.mlp_router,M_max_abs_encoder.blocks.1.attn_router,M_off_diag_mass_encoder.blocks.1.attn_router,M_max_abs_encoder.blocks.1.mlp_router,M_off_diag_mass_encoder.blocks.1.mlp_router,M_max_abs_encoder.blocks.2.attn_router,M_off_diag_mass_encoder.blocks.2.attn_router,M_max_abs_encoder.blocks.2.mlp_router,M_off_diag_mass_encoder.blocks.2.mlp_router,M_max_abs_encoder.blocks.3.attn_router,M_off_diag_mass_encoder.blocks.3.attn_router,M_max_abs_encoder.blocks.3.mlp_router,M_off_diag_mass_encoder.blocks.3.mlp_router,M_max_abs_encoder.blocks.4.attn_router,M_off_diag_mass_encoder.blocks.4.attn_router,M_max_abs_encoder.blocks.4.mlp_router,M_off_diag_mass_encoder.blocks.4.mlp_router,M_max_abs_encoder.blocks.5.attn_router,M_off_diag_mass_encoder.blocks.5.attn_router,M_max_abs_encoder.blocks.5.mlp_router,M_off_diag_mass_encoder.blocks.5.mlp_router,M_max_abs_encoder.blocks.6.attn_router,M_off_diag_mass_encoder.blocks.6.attn_router,M_max_abs_encoder.blocks.6.mlp_router,M_off_diag_mass_encoder.blocks.6.mlp_router,M_max_abs_encoder.blocks.7.attn_router,M_off_diag_mass_encoder.blocks.7.attn_router,M_max_abs_encoder.blocks.7.mlp_router,M_off_diag_mass_encoder.blocks.7.mlp_router,M_max_abs_encoder.blocks.8.attn_router,M_off_diag_mass_encoder.blocks.8.attn_router,M_max_abs_encoder.blocks.8.mlp_router,M_off_diag_mass_encoder.blocks.8.mlp_router,M_max_abs_encoder.blocks.9.attn_router,M_off_diag_mass_encoder.blocks.9.attn_router,M_max_abs_encoder.blocks.9.mlp_router,M_off_diag_mass_encoder.blocks.9.mlp_router,M_max_abs_encoder.blocks.10.attn_router,M_off_diag_mass_encoder.blocks.10.attn_router,M_max_abs_encoder.blocks.10.mlp_router,M_off_diag_mass_encoder.blocks.10.mlp_router,M_max_abs_encoder.blocks.11.attn_router,M_off_diag_mass_encoder.blocks.11.attn_router,M_max_abs_encoder.blocks.11.mlp_router,M_off_diag_mass_encoder.blocks.11.mlp_router,sk_dev_encoder.blocks.0.attn_router,sk_dev_encoder.blocks.0.mlp_router,sk_dev_encoder.blocks.1.attn_router,sk_dev_encoder.blocks.1.mlp_router,sk_dev_encoder.blocks.2.attn_router,sk_dev_encoder.blocks.2.mlp_router,sk_dev_encoder.blocks.3.attn_router,sk_dev_encoder.blocks.3.mlp_router,sk_dev_encoder.blocks.4.attn_router,sk_dev_encoder.blocks.4.mlp_router,sk_dev_encoder.blocks.5.attn_router,sk_dev_encoder.blocks.5.mlp_router,sk_dev_encoder.blocks.6.attn_router,sk_dev_encoder.blocks.6.mlp_router,sk_dev_encoder.blocks.7.attn_router,sk_dev_encoder.blocks.7.mlp_router,sk_dev_encoder.blocks.8.attn_router,sk_dev_encoder.blocks.8.mlp_router,sk_dev_encoder.blocks.9.attn_router,sk_dev_encoder.blocks.9.mlp_router,sk_dev_encoder.blocks.10.attn_router,sk_dev_encoder.blocks.10.mlp_router,sk_dev_encoder.blocks.11.attn_router,sk_dev_encoder.blocks.11.mlp_router
10,0,2.375726401805878e-06,4.149806022644043,7.591800022157834,1.209317799096111,0.6909263764896143,0.6610743314213213,0.7093570231043101,0.7121480574195851,0.8939788991567136,0.8771930589050743,0.8772683674728733,0.8534374305424647,0.9709855583362887,0.8904790295557012,0.988991389457421,0.9998639225959778,0.000314454227918759,0.9998639225959778,0.00031439150916412473,0.9998638033866882,0.00031453746487386525,0.9998638033866882,0.0003145273949485272,0.9998639225959778,0.000314383243676275,0.9998638033866882,0.0003145443624816835,0.9998638033866882,0.0003145639202557504,0.9998637437820435,0.0003146633680444211,0.9998638033866882,0.00031452663824893534,0.9998639225959778,0.0003144097572658211,0.9998639225959778,0.0003143060894217342,0.999863862991333,0.00031448667868971825,0.9998638033866882,0.00031455064890906215,0.999863862991333,0.0003145145019516349,0.9998639225959778,0.00031431627576239407,0.9998639225959778,0.0003144014917779714,0.999863862991333,0.0003144869115203619,0.999863862991333,0.00031445245258510113,0.9998639225959778,0.0003143475332763046,0.9998639225959778,0.0003143406647723168,0.9998638033866882,0.00031452227267436683,0.9998638033866882,0.0003145836235489696,0.9998638033866882,0.00031458327430300415,0.9998639225959778,0.00031439829035662115,2.384185791015625e-07,2.384185791015625e-07,0.0,0.0,1.1920928955078125e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,0.0,0.0,1.1920928955078125e-07,1.1920928955078125e-07,0.0,0.0,1.1920928955078125e-07,2.384185791015625e-07,2.384185791015625e-07,0.0
20,0,2.375726401805878e-06,3.776883602142334,7.4589571212535555,1.0488470211269125,0.5956337667724961,0.5625964332093084,0.6585120561904377,0.6728880000721679,0.8926057695138488,0.7241875535156193,0.7315055975011655,0.781912681887241,0.9253308205308459,0.7632619679608853,0.8718688970901634,0.9998639225959778,0.0003144478832837194,0.9998639225959778,0.0003144948568660766,0.9998638033866882,0.00031458449666388333,0.9998638033866882,0.0003145424125250429,0.9998639225959778,0.0003143824287690222,0.9998638033866882,0.00031457559089176357,0.9998638033866882,0.00031462236074730754,0.9998638033866882,0.0003145862137898803,0.9998639225959778,0.0003143838548567146,0.9998639225959778,0.00031434392440132797,0.9998639225959778,0.0003142911591567099,0.9998639225959778,0.0003143969806842506,0.999863862991333,0.0003144940419588238,0.9998639225959778,0.00031434817356057465,0.9998639225959778,0.0003143030044157058,0.9998639225959778,0.00031439916347153485,0.999863862991333,0.0003144548099953681,0.9998639225959778,0.0003142949426546693,0.9998639225959778,0.00031430847593583167,0.9998639225959778,0.00031426228815689683,0.9998639225959778,0.0003143450303468853,0.999863862991333,0.0003144886577501893,0.999863862991333,0.0003144890652038157,0.9998639225959778,0.000314289762172848,3.5762786865234375e-07,3.5762786865234375e-07,0.0,0.0,1.1920928955078125e-07,0.0,1.1920928955078125e-07,0.0,1.1920928955078125e-07,0.0,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,0.0,0.0,0.0,1.1920928955078125e-07,1.1920928955078125e-07,0.0,0.0,0.0,1.1920928955078125e-07,2.384185791015625e-07,1.1920928955078125e-07
30,0,2.375726401805878e-06,3.1640818119049072,7.099380460830817,1.0027176986935167,0.5712379191685439,0.5466950515932556,0.6341785855192414,0.5877637574510842,0.6773196232160581,0.6094502501834986,0.6402352135156768,0.6360774656567388,0.6722054797674708,0.5983893995818804,0.6821593001938164,0.9998641014099121,0.0003142832429148257,0.9998639225959778,0.000314455886837095,0.9998638033866882,0.00031457236036658287,0.9998639225959778,0.0003145035298075527,0.9998639225959778,0.0003144147922284901,0.9998639225959778,0.00031450355891138315,0.9998639225959778,0.00031449843663722277,0.9998639225959778,0.0003144987567793578,0.9998639225959778,0.00031432430841960013,0.9998641014099121,0.00031420038430951536,0.9998641014099121,0.0003140778571832925,0.9998639822006226,0.00031422291067428887,0.9998639225959778,0.00031427762587554753,0.9998639225959778,0.00031425611814484,0.9998641014099121,0.00031408126233145595,0.9998639225959778,0.00031425926135852933,0.9998639822006226,0.0003142343193758279,0.9998641014099121,0.0003140551852993667,0.9998641014099121,0.00031407593633048236,0.9998641014099121,0.0003140634507872164,0.9998639225959778,0.0003142562636639923,0.9998639225959778,0.0003142931673210114,0.9998639225959778,0.00031429671798832715,0.9998639822006226,0.00031421365565620363,4.76837158203125e-07,3.5762786865234375e-07,0.0,2.384185791015625e-07,1.1920928955078125e-07,2.384185791015625e-07,3.5762786865234375e-07,2.384185791015625e-07,1.1920928955078125e-07,2.384185791015625e-07,1.1920928955078125e-07,0.0,0.0,0.0,1.1920928955078125e-07,0.0,0.0,0.0,2.384185791015625e-07,1.1920928955078125e-07,0.0,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07
40,0,2.375726401805878e-06,3.1772422790527344,7.360418726367017,1.122638842575981,0.5890116368645173,0.5486007041233242,0.5902116649558227,0.574777469856118,0.7014164148625581,0.6201533606357,0.6270596507816029,0.65000000307907,0.6445706428526791,0.5845990547845582,0.6227692414739973,0.9998641014099121,0.00031434508855454624,0.9998641014099121,0.000314282369799912,0.9998639225959778,0.00031457081786356866,0.9998639225959778,0.00031449765083380044,0.9998641014099121,0.00031427686917595565,0.9998639225959778,0.0003144896763842553,0.9998639225959778,0.0003144583315588534,0.9998639225959778,0.00031444395426660776,0.9998641014099121,0.00031419171136803925,0.9998641014099121,0.0003141399356536567,0.9998641014099121,0.0003140727349091321,0.9998641014099121,0.0003140258777420968,0.9998641014099121,0.0003140810295008123,0.9998641014099121,0.0003141359193250537,0.9998641014099121,0.00031412008684128523,0.9998641014099121,0.00031406807829625905,0.9998641014099121,0.0003140701446682215,0.9998642802238464,0.00031387791386805475,0.9998642802238464,0.00031395338010042906,0.9998642802238464,0.0003139478503726423,0.9998641014099121,0.0003140633343718946,0.9998639822006226,0.0003142168279737234,0.9998639822006226,0.00031423094333149493,0.9998639822006226,0.000314223172608763,7.152557373046875e-07,5.960464477539062e-07,3.5762786865234375e-07,3.5762786865234375e-07,3.5762786865234375e-07,2.384185791015625e-07,3.5762786865234375e-07,2.384185791015625e-07,3.5762786865234375e-07,2.384185791015625e-07,1.1920928955078125e-07,1.1920928955078125e-07,2.384185791015625e-07,2.384185791015625e-07,2.384185791015625e-07,2.384185791015625e-07,1.1920928955078125e-07,2.384185791015625e-07,3.5762786865234375e-07,3.5762786865234375e-07,1.1920928955078125e-07,0.0,0.0,1.1920928955078125e-07
50,0,2.375726401805878e-06,3.6484713554382324,6.914246809747038,1.048853647052528,0.5873490169194833,0.5586515538270399,0.6163248832555607,0.5886748220312524,0.7053773425697334,0.6389770524230957,0.6224525743709062,0.6306072596992205,0.6630207915555087,0.5961011476709797,0.6049180986665628,0.9998642802238464,0.0003142385685350746,0.9998641014099121,0.0003143570793326944,0.9998639225959778,0.00031462605693377554,0.9998639225959778,0.0003144694201182574,0.9998641014099121,0.00031427707290276885,0.9998639225959778,0.00031446004868485034,0.9998641014099121,0.00031435576966032386,0.9998641014099121,0.00031428286456502974,0.9998641014099121,0.000314237957354635,0.9998642802238464,0.0003139678738079965,0.9998642802238464,0.0003140134213026613,0.9998642802238464,0.0003139505861327052,0.9998641014099121,0.00031413338729180396,0.9998642802238464,0.0003139494510833174,0.9998642802238464,0.0003138851607218385,0.9998642802238464,0.00031395815312862396,0.9998641014099121,0.00031406874768435955,0.9998644590377808,0.0003136501763947308,0.9998644590377808,0.0003137310268357396,0.9998644590377808,0.00031366656185127795,0.9998642802238464,0.0003138877800665796,0.9998641014099121,0.0003140128683298826,0.9998641014099121,0.0003140658373013139,0.9998641014099121,0.00031400209991261363,8.344650268554688e-07,7.152557373046875e-07,4.76837158203125e-07,3.5762786865234375e-07,4.76837158203125e-07,3.5762786865234375e-07,5.960464477539062e-07,4.76837158203125e-07,3.5762786865234375e-07,4.76837158203125e-07,3.5762786865234375e-07,3.5762786865234375e-07,2.384185791015625e-07,3.5762786865234375e-07,3.5762786865234375e-07,3.5762786865234375e-07,1.1920928955078125e-07,3.5762786865234375e-07,5.960464477539062e-07,4.76837158203125e-07,3.5762786865234375e-07,1.1920928955078125e-07,1.1920928955078125e-07,0.0
60,0,2.375726401805878e-06,2.9658780097961426,6.5688584446617675,0.7805103547744627,0.4674110823644491,0.4532497061054878,0.5019920205535761,0.482554046456516,0.5904193375448222,0.5053153804432676,0.5338169199678681,0.566880102948997,0.532693805059399,0.5057578946709633,0.5061230244243387,0.9998641014099121,0.0003143425565212965,0.9998641014099121,0.00031435504206456244,0.9998639225959778,0.00031459101592190564,0.9998639225959778,0.0003145081573165953,0.9998641014099121,0.0003143950889352709,0.9998639225959778,0.00031449561356566846,0.9998639225959778,0.00031446744105778635,0.9998641014099121,0.0003143865615129471,0.9998641014099121,0.0003142394998576492,0.9998642802238464,0.00031395870610140264,0.9998642802238464,0.0003139600157737732,0.9998642802238464,0.00031388155184686184,0.9998642802238464,0.00031401528394781053,0.9998642802238464,0.00031385303009301424,0.9998642802238464,0.00031384555040858686,0.9998642802238464,0.00031389002106152475,0.9998642802238464,0.0003139550390187651,0.9998644590377808,0.00031364080496132374,0.9998644590377808,0.0003137205494567752,0.9998644590377808,0.00031365640461444855,0.9998642802238464,0.0003138767497148365,0.9998642802238464,0.00031389365904033184,0.9998641014099121,0.0003140261396765709,0.9998641014099121,0.00031396595295518637,7.152557373046875e-07,7.152557373046875e-07,4.76837158203125e-07,3.5762786865234375e-07,4.76837158203125e-07,3.5762786865234375e-07,3.5762786865234375e-07,4.76837158203125e-07,3.5762786865234375e-07,3.5762786865234375e-07,3.5762786865234375e-07,3.5762786865234375e-07,3.5762786865234375e-07,3.5762786865234375e-07,3.5762786865234375e-07,3.5762786865234375e-07,3.5762786865234375e-07,3.5762786865234375e-07,5.960464477539062e-07,4.76837158203125e-07,3.5762786865234375e-07,2.384185791015625e-07,1.1920928955078125e-07,0.0
70,0,2.375726401805878e-06,3.1292219161987305,5.3056424167200396,0.9302938834053762,0.47482325055267643,0.44810155242485744,0.5112267430759176,0.4670814891090202,0.532101201053218,0.44362498362790526,0.49640040083831594,0.4846466381198714,0.4470487336511016,0.4051601640697851,0.41939325608616285,0.9998642802238464,0.00031418431899510324,0.9998641014099121,0.0003144123766105622,0.9998639225959778,0.00031458624289371073,0.9998639225959778,0.00031450478127226233,0.9998639225959778,0.00031444671913050115,0.9998639225959778,0.0003144910151604563,0.9998639225959778,0.0003144649090245366,0.9998639225959778,0.000314436067128554,0.9998641014099121,0.0003141307970508933,0.9998642802238464,0.00031394732650369406,0.9998642802238464,0.0003139592881780118,0.9998642802238464,0.00031383943860419095,0.9998642802238464,0.000313945347443223,0.9998642802238464,0.0003138311149086803,0.9998644590377808,0.00031377727282233536,0.9998642802238464,0.0003138522442895919,0.9998642802238464,0.0003139512846246362,0.9998644590377808,0.0003136328305117786,0.9998644590377808,0.0003136591985821724,0.9998644590377808,0.0003136488958261907,0.9998642802238464,0.00031387698254548013,0.9998642802238464,0.00031389083596877754,0.9998641014099121,0.00031412809039466083,0.9998641014099121,0.00031406356720253825,8.344650268554688e-07,7.152557373046875e-07,4.76837158203125e-07,3.5762786865234375e-07,3.5762786865234375e-07,2.384185791015625e-07,3.5762786865234375e-07,2.384185791015625e-07,2.384185791015625e-07,3.5762786865234375e-07,3.5762786865234375e-07,3.5762786865234375e-07,3.5762786865234375e-07,3.5762786865234375e-07,4.76837158203125e-07,3.5762786865234375e-07,3.5762786865234375e-07,3.5762786865234375e-07,5.960464477539062e-07,4.76837158203125e-07,3.5762786865234375e-07,2.384185791015625e-07,1.1920928955078125e-07,1.1920928955078125e-07
80,0,2.375726401805878e-06,2.474752187728882,5.838824173888362,0.7600338410773263,0.4375246226113086,0.43554878208839215,0.5687913512509262,0.4948220142556747,0.5875958542054205,0.5065801017888726,0.518115306515779,0.5827335971612249,0.5154962162423087,0.4492441045921225,0.46827568916333373,0.9998642802238464,0.0003141817287541926,0.9998641014099121,0.00031440926250070333,0.9998639225959778,0.0003145720693282783,0.9998639225959778,0.00031445009517483413,0.9998641014099121,0.00031426994246430695,0.9998639225959778,0.0003144369984511286,0.9998641014099121,0.0003143908688798547,0.9998641014099121,0.00031425870838575065,0.9998641014099121,0.0003141404886264354,0.9998642802238464,0.0003138494794256985,0.9998642802238464,0.00031388725619763136,0.9998644590377808,0.00031377258710563183,0.9998642802238464,0.0003138823958579451,0.9998644590377808,0.00031365922768600285,0.9998644590377808,0.0003136499726679176,0.9998644590377808,0.0003136685991194099,0.9998642802238464,0.0003138752654194832,0.9998644590377808,0.0003135355655103922,0.9998644590377808,0.00031371385557577014,0.9998644590377808,0.0003136010782327503,0.9998642802238464,0.00031382939778268337,0.9998642802238464,0.00031383513123728335,0.9998642802238464,0.00031394875259138644,0.9998641014099121,0.0003140266053378582,8.344650268554688e-07,7.152557373046875e-07,3.5762786865234375e-07,2.384185791015625e-07,3.5762786865234375e-07,1.1920928955078125e-07,4.76837158203125e-07,3.5762786865234375e-07,2.384185791015625e-07,3.5762786865234375e-07,3.5762786865234375e-07,4.76837158203125e-07,3.5762786865234375e-07,4.76837158203125e-07,4.76837158203125e-07,4.76837158203125e-07,3.5762786865234375e-07,3.5762786865234375e-07,5.960464477539062e-07,4.76837158203125e-07,3.5762786865234375e-07,2.384185791015625e-07,3.5762786865234375e-07,1.1920928955078125e-07
90,0,2.375726401805878e-06,3.4489314556121826,6.858982970057711,1.1461812225331585,0.640035460109059,0.6385373825716582,0.6966376121060311,0.5923358169731892,0.6429084364648321,0.588179016210313,0.5494747691632713,0.5122771630807164,0.5147719799113524,0.44167546335272745,0.545680660517951,0.9998642802238464,0.0003141809720546007,0.9998641014099121,0.00031435428536497056,0.9998639225959778,0.00031457626027986407,0.9998639225959778,0.0003144431102555245,0.9998641014099121,0.00031426185159944,0.9998639225959778,0.0003143738431390375,0.9998641014099121,0.00031427814974449575,0.9998641014099121,0.00031424069311469793,0.9998641014099121,0.00031412183307111263,0.9998644590377808,0.0003136692685075104,0.9998642802238464,0.00031383970053866506,0.9998644590377808,0.00031363897142000496,0.9998644590377808,0.00031377922277897596,0.9998644590377808,0.00031365506583824754,0.9998644590377808,0.0003135424922220409,0.9998644590377808,0.00031371848308481276,0.9998644590377808,0.0003136672603432089,0.9998646378517151,0.0003133991558570415,0.9998646378517151,0.00031347342883236706,0.9998646378517151,0.00031346516334451735,0.9998644590377808,0.00031364921596832573,0.9998642802238464,0.0003138164465781301,0.9998642802238464,0.00031388402567245066,0.9998641014099121,0.0003140237822663039,8.344650268554688e-07,7.152557373046875e-07,3.5762786865234375e-07,2.384185791015625e-07,3.5762786865234375e-07,1.1920928955078125e-07,3.5762786865234375e-07,3.5762786865234375e-07,2.384185791015625e-07,4.76837158203125e-07,3.5762786865234375e-07,4.76837158203125e-07,4.76837158203125e-07,4.76837158203125e-07,3.5762786865234375e-07,4.76837158203125e-07,4.76837158203125e-07,5.960464477539062e-07,7.152557373046875e-07,7.152557373046875e-07,3.5762786865234375e-07,2.384185791015625e-07,3.5762786865234375e-07,1.1920928955078125e-07
100,0,2.375726401805878e-06,3.2500391006469727,6.628524026118156,0.9737518459968368,0.5882967138492383,0.5791782940173925,0.6249780496306936,0.5727083191081486,0.6565996956816567,0.5748578656602443,0.6367269109032737,0.6197546697942894,0.5282866545174176,0.46914240583247246,0.5141432087198567,0.9998642802238464,0.0003142762870993465,0.9998641014099121,0.00031434406992048025,0.9998637437820435,0.00031474867137148976,0.9998639225959778,0.0003144210495520383,0.9998639225959778,0.0003143700014334172,0.9998639225959778,0.00031426604255102575,0.9998639225959778,0.0003144318761769682,0.9998641014099121,0.00031407480128109455,0.9998641014099121,0.0003140133630950004,0.9998644590377808,0.00031364813912659883,0.9998642802238464,0.0003138240717817098,0.9998644590377808,0.0003135354199912399,0.9998644590377808,0.00031365235918201506,0.9998646378517151,0.0003134654543828219,0.9998646378517151,0.0003134629223495722,0.9998646378517151,0.0003135369624942541,0.9998644590377808,0.0003136430459562689,0.9998648166656494,0.00031323826988227665,0.9998648166656494,0.00031336324173025787,0.9998648166656494,0.00031324580777436495,0.9998646378517151,0.00031353955273516476,0.9998644590377808,0.0003135998558718711,0.9998644590377808,0.00031383082387037575,0.9998641014099121,0.000314071454340592,9.5367431640625e-07,7.152557373046875e-07,2.384185791015625e-07,1.1920928955078125e-07,1.1920928955078125e-07,0.0,1.1920928955078125e-07,2.384185791015625e-07,1.1920928955078125e-07,4.76837158203125e-07,3.5762786865234375e-07,3.5762786865234375e-07,4.76837158203125e-07,5.960464477539062e-07,5.960464477539062e-07,7.152557373046875e-07,4.76837158203125e-07,7.152557373046875e-07,8.344650268554688e-07,7.152557373046875e-07,7.152557373046875e-07,3.5762786865234375e-07,4.76837158203125e-07,1.1920928955078125e-07
