class_idx,class_name,val_clips,train_clips,recall,correct,errors,top1_conf_count,top1_conf_class,top2_conf_count,top2_conf_class
16,016_Pretending_to_put_something_into_something,68,1044,0.0735,5,63,54,022_Putting_something_into_something,4,002_Dropping_something_into_something
11,011_Picking_something_up,199,980,0.3266,65,134,37,014_Pretending_to_pick_something_up,35,009_Moving_something_up
17,017_Pretending_to_throw_something,47,915,0.3830,18,29,20,029_Throwing_something,3,005_Holding_something
14,014_Pretending_to_pick_something_up,228,1547,0.5175,118,110,39,011_Picking_something_up,11,019_Pulling_something_from_right_to_left
24,024_Putting_something_onto_something,139,1608,0.5252,73,66,16,022_Putting_something_into_something,8,001_Covering_something_with_something
26,026_Spilling_something_next_to_something,60,162,0.5500,33,27,19,023_Putting_something_next_to_something,4,012_Pouring_something_into_something
2,002_Dropping_something_into_something,178,903,0.5787,103,75,53,022_Putting_something_into_something,4,029_Throwing_something
5,005_Holding_something,197,1459,0.5888,116,81,18,011_Picking_something_up,12,030_Turning_something_upside_down
25,025_Showing_something_to_the_camera,261,709,0.5900,154,107,25,029_Throwing_something,20,005_Holding_something
15,015_Pretending_to_pour_something_out_of_something_but_something_,56,314,0.6071,34,22,8,012_Pouring_something_into_something,5,030_Turning_something_upside_down
4,004_Hitting_something_with_something,235,1738,0.6085,143,92,15,024_Putting_something_onto_something,11,022_Putting_something_into_something
9,009_Moving_something_up,359,3170,0.6546,235,124,36,011_Picking_something_up,35,014_Pretending_to_pick_something_up
22,022_Putting_something_into_something,292,2188,0.6781,198,94,21,016_Pretending_to_put_something_into_something,12,024_Putting_something_onto_something
8,008_Moving_something_down,311,2741,0.6881,214,97,31,024_Putting_something_onto_something,16,005_Holding_something
13,013_Pouring_something_out_of_something,79,314,0.7089,56,23,11,012_Pouring_something_into_something,7,015_Pretending_to_pour_something_out_of_something_but_something_
23,023_Putting_something_next_to_something,203,2031,0.7143,145,58,8,007_Moving_something_closer_to_something,7,024_Putting_something_onto_something
31,031_Uncovering_something,312,2426,0.7276,227,85,18,010_Opening_something,12,032_Unfolding_something
10,010_Opening_something,332,1253,0.7319,243,89,23,028_Taking_something_out_of_something,17,030_Turning_something_upside_down
6,006_Moving_something_away_from_something,183,910,0.7322,134,49,9,019_Pulling_something_from_right_to_left,8,018_Pulling_something_from_left_to_right
20,020_Putting_something_behind_something,127,1204,0.7323,93,34,8,023_Putting_something_next_to_something,5,022_Putting_something_into_something
0,000_Closing_something,228,1068,0.7325,167,61,21,010_Opening_something,7,022_Putting_something_into_something
29,029_Throwing_something,184,2254,0.7446,137,47,25,017_Pretending_to_throw_something,4,005_Holding_something
21,021_Putting_something_in_front_of_something,135,837,0.7481,101,34,13,001_Covering_something_with_something,5,024_Putting_something_onto_something
32,032_Unfolding_something,215,840,0.8000,172,43,16,003_Folding_something,11,031_Uncovering_something
1,001_Covering_something_with_something,417,2727,0.8058,336,81,9,031_Uncovering_something,9,022_Putting_something_into_something
3,003_Folding_something,285,972,0.8246,235,50,24,032_Unfolding_something,10,031_Uncovering_something
28,028_Taking_something_out_of_something,239,1699,0.8285,198,41,8,022_Putting_something_into_something,8,010_Opening_something
30,030_Turning_something_upside_down,391,2058,0.8312,325,66,18,011_Picking_something_up,10,009_Moving_something_up
7,007_Moving_something_closer_to_something,213,907,0.8545,182,31,7,023_Putting_something_next_to_something,4,019_Pulling_something_from_right_to_left
19,019_Pulling_something_from_right_to_left,125,1587,0.8640,108,17,4,031_Uncovering_something,3,030_Turning_something_upside_down
12,012_Pouring_something_into_something,278,873,0.8669,241,37,12,013_Pouring_something_out_of_something,7,015_Pretending_to_pour_something_out_of_something_but_something_
18,018_Pulling_something_from_left_to_right,169,1555,0.9231,156,13,4,011_Picking_something_up,2,030_Turning_something_upside_down
